country,fund,row_count,total_aum_eur
France,EdR Fund Big Data,235,1141604033.00
France,EdR SICAV - Financial Bonds,163,1052535292.00
France,EdR SICAV - Tricolore Convictions,391,726297412.00
Spain,EdR Fund Big Data,168,563638013.00
Italy,EdR SICAV - Financial Bonds,41,538720765.00
France,EdR Fund Bond Allocation,224,499392973.00
France,EdR SICAV - Millesima 2030,140,380474885.00
France,EDR SICAV - Corporate Hybrid Bonds,58,325131956.00
France,EdR SICAV - Millesima Select 2028,108,319515153.00
France,EdR Fund Healthcare,154,292183923.00
France,EdR SICAV - Euro Sustainable Equity,287,288487061.00
Spain,EdR SICAV - Financial Bonds,72,236826470.00
Switzerland,EDR SICAV - Corporate Hybrid Bonds,159,233143613.00
Switzerland,EdR Fund Big Data,220,229946192.00
Switzerland,EdR SICAV - Financial Bonds,164,217486144.00
Switzerland,EdR Fund Emerging Credit,187,211034581.00
Germany,EdR SICAV - Financial Bonds,19,202833990.00
Spain,EdR Fund Bond Allocation,84,196736064.00
France,EdR Fund US Value,297,157640554.00
France,EdR SICAV - Euro Sustainable Credit,143,150302846.00
Spain,EdR SICAV - Millesima 2030,60,146623045.00
France,EdR Fund Income Europe,119,145175731.00
Italy,EdR Fund Big Data,61,132597945.00
France,EdR Fund Euro High Yield,77,129740017.00
Italy,EDR SICAV - Corporate Hybrid Bonds,15,127728655.00
Switzerland,EdR SICAV - Millesima 2030,92,127139644.00
Switzerland,EdR Fund Investment Grade Credit,111,117099218.00
France,EdR Goldsphere,123,116702597.00
France,EdR SICAV - Equity Euro Solve,108,116327705.00
France,EdR SICAV - European Smaller Companies,141,112927451.00
Spain,EdR SICAV - Millesima Select 2028,70,112617871.00
France,EdR SICAV - Ultim,15,110301063.00
France,EdR SICAV - Tech for Tomorrow,24,110160466.00
France,EdR SICAV - Millesima World 2028,119,103492175.00
Spain,EdR SICAV - Short Duration Credit,73,97295760.00
France,EdR SICAV - Short Duration Credit,144,96238953.00
France,EdR India,137,82136688.00
France,EdR Fund China,128,74104673.00
Switzerland,EdR Fund Bond Allocation,171,66575846.00
Spain,EdR SICAV - Millesima World 2028,57,65378712.00
Germany,EdR Fund Big Data,43,64826615.00
Switzerland,EdR SICAV - Global Resilience,51,60939068.00
Switzerland,EdR SICAV - Millesima Select 2028,73,60457032.00
Italy,EdR SICAV - Short Duration Credit,24,59273707.00
Switzerland,EdR SICAV - European Smaller Companies,32,59270762.00
Switzerland,EdR SICAV - Euro Sustainable Credit,35,58874657.00
France,EdR Fund Human Capital,71,53319592.00
Italy,EdR Fund Bond Allocation,46,51073525.00
France,EdR Fund Strategic Emerging,145,47743548.00
Spain,EdR SICAV - Euro Sustainable Equity,11,36608538.00
