fund,asset_class,role,clients_scored,existing_holders,avg_defend_score,avg_cross_sell_score,avg_new_allocation_score,top_defend_score,top_cross_sell_score,top_new_allocation_score
EDR SICAV - Corporate Hybrid Bonds,fixed_income,core,946,166,10.29,19.72,37.48,80.85,54.58,78.6
EdR Fund Big Data,equity,satellite,946,481,29.41,11.69,23.62,85.78,57.37,75.8
EdR Fund Bond Allocation,fixed_income,core,946,384,21.77,13.59,26.25,82.22,54.52,76.75
EdR Fund China,equity,satellite,946,215,12.14,18.67,34.7,81.31,63.15,81.24
EdR Fund EM Climate Bonds,fixed_income,satellite,946,26,1.66,23.63,42.17,81.06,51.44,73.5
EdR Fund Emerging Credit,fixed_income,satellite,946,169,9.88,18.78,34.77,86.85,53.53,80.76
EdR Fund Emerging Sovereign,fixed_income,satellite,946,143,7.8,21.18,36.88,79.34,53.72,80.2
EdR Fund Euro High Yield,fixed_income,core,946,109,6.09,20.68,35.7,79.39,55.54,78.22
EdR Fund Healthcare,equity,satellite,946,239,13.3,16.84,30.99,86.61,56.7,78.02
EdR Fund Human Capital,equity,satellite,946,110,6.08,20.93,36.63,76.97,57.53,73.83
EdR Fund Income Europe,equity,relay,946,188,9.85,18.4,32.27,84.59,53.39,71.71
EdR Fund Investment Grade Credit,fixed_income,core,946,94,5.43,18.89,33.82,77.13,49.45,69.91
EdR Fund QUAM 5,multi_asset,core,946,42,2.19,11.59,52.67,82.38,33.85,92.16
EdR Fund Strategic Emerging,equity,satellite,946,189,10.53,19.3,34.72,77.48,64.83,77.07
EdR Fund US Value,equity,relay,946,292,16.88,16.48,32.16,80.77,70.41,77.14
EdR Goldsphere,alternatives,satellite,946,168,9.81,11.78,49.03,76.47,39.94,87.26
EdR India,equity,satellite,946,191,11.01,18.97,34.25,76.4,56.92,72.34
EdR SICAV - Equity Euro Solve,equity,relay,946,99,5.43,20.2,36.1,77.84,54.13,72.16
EdR SICAV - Euro Sustainable Credit,fixed_income,core,946,188,10.52,19.45,33.73,86.47,57.7,78.24
EdR SICAV - Euro Sustainable Equity,equity,relay,946,300,16.63,15.43,29.57,87.35,53.75,77.62
EdR SICAV - European Catalysts,alternatives,satellite,946,232,13.19,10.85,45.04,80.81,40.02,81.88
EdR SICAV - European Smaller Companies,equity,relay,946,155,8.46,18.78,33.69,81.38,54.66,78.46
EdR SICAV - Financial Bonds,fixed_income,core,946,314,18.34,15.27,29.73,89.85,56.29,77.16
EdR SICAV - Global Allocation,multi_asset,core,946,76,3.46,10.13,46.94,81.11,31.36,72.8
EdR SICAV - Global Resilience,equity,satellite,946,125,7.0,19.13,34.11,77.03,51.31,80.61
EdR SICAV - Green New Deal,equity,satellite,946,89,5.09,21.9,38.46,72.1,56.16,82.17
EdR SICAV - Millesima 2030,fixed_income,core,946,200,12.56,18.96,35.41,84.58,57.95,77.07
EdR SICAV - Millesima 2032,fixed_income,core,946,16,0.98,20.71,36.31,76.96,52.48,69.93
EdR SICAV - Millesima Select 2028,fixed_income,core,946,185,11.33,19.04,35.68,79.57,56.88,78.7
EdR SICAV - Millesima World 2028,fixed_income,core,946,171,10.57,20.95,37.16,80.8,55.1,76.59
EdR SICAV - Mission Europa,equity,relay,946,10,0.6,21.61,38.71,77.79,47.86,80.18
EdR SICAV - Short Duration Credit,fixed_income,core,946,223,12.92,19.2,34.85,76.83,54.09,76.84
EdR SICAV - Tech for Tomorrow,equity,satellite,946,32,1.88,23.55,40.09,84.53,57.05,84.98
EdR SICAV - Tricolore Convictions,equity,relay,946,304,18.6,15.12,30.79,83.08,58.81,72.85
EdR SICAV - Ultim,multi_asset,satellite,946,22,1.26,13.23,56.76,79.12,46.2,87.91
